Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,1,2,3,n/a
StartCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RetCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NewCap,5261.3221852184415,4073.9769100325293,10339.302219149999,-0.0,-0.0,6119.307694,1259.338187134428,-0.0,-0.0,27053.247195535398
EndCap,5261.3221852184415,4073.9769100325293,10339.302219149999,0.0,0.0,6119.307694,1259.338187134428,0.0,0.0,27053.247195535398
StartEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RetEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NewEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,4585.278429086373,-0.0,-0.0,4585.278429086373
EndEnergyCap,0.0,0.0,0.0,0.0,0.0,0.0,4585.278429086373,0.0,0.0,4585.278429086373
StartChargeCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RetChargeCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NewChargeCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EndChargeCap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
